,team,position,height,age,appearance,goals,assists,yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,award,current_value
0,Manchester United,Goalkeeper,189.0,32.0,104,0.0,0.0,0.009584665,0.0,1.217252396,0.335463259,9390,42,13,15000000
1,Manchester United,Goalkeeper,196.0,30.0,15,0.0,0.0,0.069018405,0.0,1.242331288,0.207055215,1304,510,1,1500000
2,Manchester United,Goalkeeper,188.0,37.0,4,0.0,0.0,0.0,0.0,0.616438356,0.924657534,292,697,4,600000
3,Manchester United,Defender Centre-Back,175.0,25.0,82,0.028089888,0.056179775,0.224719101,0.0,0.0,0.0,6408,175,9,50000000
4,Manchester United,Defender Centre-Back,191.0,30.0,63,0.017889088,0.017889088,0.053667263,0.0,0.0,0.0,5031,238,21,40000000
5,Manchester United,Defender Centre-Back,194.0,30.0,68,0.037799244,0.0,0.302393952,0.0,0.0,0.0,4762,148,1,25000000
6,Manchester United,Defender Centre-Back,187.0,28.0,70,0.0,0.032900749,0.115152623,0.0,0.0,0.0,5471,95,10,15000000
7,Manchester United,Defender Centre-Back,185.0,31.0,8,0.0,0.0,0.216346154,0.0,0.0,0.0,416,932,7,2000000
8,Manchester United,Defender Centre-Back,186.0,21.0,34,0.0,0.0,0.130529369,0.0,0.0,0.0,2758,47,0,2000000
9,Manchester United,Defender Left-Back,178.0,27.0,74,0.015374103,0.169115135,0.353604373,0.0,0.0,0.0,5854,443,4,35000000
10,Manchester United,Defender Left-Back,169.0,23.0,89,0.012619181,0.063095906,0.227145261,0.0,0.0,0.0,7132,182,3,22000000
11,Manchester United,Defender Left-Back,180.0,22.0,34,0.0,0.033507074,0.335070737,0.0,0.0,0.0,2686,175,1,10000000
12,Manchester United,Defender Right-Back,183.0,24.0,72,0.032292788,0.048439182,0.226049516,0.0,0.0,0.0,5574,328,3,35000000
13,Manchester United,Defender Right-Back,183.0,25.0,60,0.0,0.018816642,0.094083211,0.018816642,0.0,0.0,4783,126,1,22000000
32,West Ham United,Goalkeeper,195.0,30.0,41,0.0,0.0,0.0,0.0,0.898502496,0.449251248,3606,34,16,8000000
33,West Ham United,Goalkeeper,190.0,38.0,75,0.0,0.0,0.040767024,0.0,1.331722784,0.27178016,6623,554,4,1000000
34,West Ham United,Defender Centre-Back,190.0,27.0,70,0.086970527,0.043485263,0.144950878,0.014495088,0.0,0.0,6209,286,4,32000000
35,West Ham United,Defender Centre-Back,190.0,28.0,65,0.050055617,0.016685206,0.033370412,0.0,0.0,0.0,5394,624,9,28000000
36,West Ham United,Defender Centre-Back,186.0,26.0,72,0.037098104,0.037098104,0.166941467,0.0,0.0,0.0,4852,317,12,18000000
37,West Ham United,Defender Centre-Back,191.0,35.0,42,0.027059531,0.0,0.108238124,0.0,0.0,0.0,3326,664,5,1000000
38,West Ham United,Defender Left-Back,176.0,28.0,71,0.051516886,0.068689181,0.120206068,0.017172295,0.0,0.0,5241,289,7,12000000
39,West Ham United,Defender Left-Back,170.0,33.0,80,0.028033017,0.140165083,0.112132067,0.028033017,0.0,0.0,6421,226,1,2500000
40,West Ham United,Defender Right-Back,184.0,23.0,64,0.019543974,0.019543974,0.058631922,0.0,0.0,0.0,4605,7,1,12000000
41,West Ham United,Defender Right-Back,179.0,30.0,72,0.0,0.094076655,0.156794425,0.0,0.0,0.0,5740,122,5,9000000
54,Leicester City,Goalkeeper,191.0,29.0,33,0.0,0.0,0.0,0.0,1.696969697,0.242424242,2970,127,2,8000000
55,Leicester City,Goalkeeper,191.0,25.0,65,0.0,0.0,0.015340037,0.0,1.257883075,0.291460712,5867,0,0,2000000
56,Leicester City,Goalkeeper,189.0,33.0,31,0.0,0.0,0.064516129,0.0,1.483870968,0.161290323,2790,89,0,600000
57,Leicester City,Defender Centre-Back,187.0,25.0,78,0.064249001,0.0256996,0.102798401,0.0,0.0,0.0,7004,14,2,20000000
58,Leicester City,Defender Centre-Back,185.0,27.0,50,0.041850732,0.0,0.16740293,0.0,0.0,0.0,4301,299,2,15000000
59,Leicester City,Defender Centre-Back,198.0,24.0,40,0.026362039,0.052724077,0.237258348,0.0,0.0,0.0,3414,339,0,15000000
60,Leicester City,Defender Centre-Back,186.0,28.0,64,0.017612524,0.0,0.088062622,0.0,0.0,0.0,5110,760,6,15000000
61,Leicester City,Defender Centre-Back,199.0,30.0,25,0.0,0.0,0.245733788,0.0,0.0,0.0,1465,241,0,5000000
62,Leicester City,Defender Centre-Back,188.0,35.0,41,0.055401662,0.027700831,0.110803324,0.0,0.0,0.0,3249,438,12,3000000
63,Leicester City,Defender Left-Back,181.0,20.0,71,0.016568483,0.099410898,0.231958763,0.0,0.0,0.0,5432,90,1,12000000
64,Leicester City,Defender Left-Back,181.0,21.0,57,0.0,0.0414651,0.186592951,0.0,0.0,0.0,4341,0,2,10000000
65,Leicester City,Defender Left-Back,179.0,33.0,12,0.0,0.0,0.221674877,0.0,0.0,0.0,812,872,4,1000000
66,Leicester City,Defender Right-Back,185.0,27.0,78,0.042472865,0.056630486,0.070788108,0.0,0.0,0.0,6357,235,1,28000000
67,Leicester City,Defender Right-Back,183.0,25.0,35,0.032350827,0.032350827,0.0,0.0,0.0,0.0,2782,535,2,25000000
68,Leicester City,Defender Right-Back,175.0,29.0,35,0.129932628,0.173243503,0.259865255,0.0,0.0,0.0,2078,587,4,12000000
81,Aston Villa,Goalkeeper,195.0,30.0,74,0.0,0.0,0.150914634,0.0,1.207317073,0.329268293,6560,9,8,28000000
82,Aston Villa,Goalkeeper,196.0,33.0,18,0.0,0.0,0.0,0.0,1.988304094,0.116959064,1539,84,7,2000000
83,Aston Villa,Goalkeeper,183.0,30.0,8,0.0,0.0,0.0,0.0,0.698757764,0.698757764,644,718,1,600000
84,Aston Villa,Goalkeeper,190.0,21.0,17,0.0,0.0,0.0,0.0,1.470588235,0.352941176,1530,42,0,400000
85,Aston Villa,Defender Centre-Back,185.0,30.0,48,0.065966284,0.0,0.131932568,0.0,0.0,0.0,4093,258,2,30000000
86,Aston Villa,Defender Centre-Back,196.0,30.0,74,0.027485112,0.068712781,0.24736601,0.0,0.0,0.0,6549,635,0,25000000
87,Aston Villa,Defender Centre-Back,183.0,25.0,70,0.030176027,0.0,0.150880134,0.015088013,0.0,0.0,5965,85,1,22000000
88,Aston Villa,Defender Centre-Back,182.0,28.0,33,0.099118943,0.0,0.148678414,0.0,0.0,0.0,1816,458,2,8000000
89,Aston Villa,Defender Left-Back,179.0,29.0,83,0.073266037,0.161185282,0.146532074,0.014653207,0.0,0.0,6142,72,2,20000000
90,Aston Villa,Defender Left-Back,178.0,29.0,62,0.065406977,0.087209302,0.239825581,0.0,0.0,0.0,4128,245,12,17000000
91,Aston Villa,Defender Right-Back,185.0,25.0,68,0.066018705,0.082523382,0.198056116,0.0,0.0,0.0,5453,120,1,22000000
92,Aston Villa,Defender Right-Back,175.0,37.0,57,0.025366404,0.050732807,0.27903044,0.0,0.0,0.0,3548,510,8,1000000
104,Wolverhampton Wanderers,Goalkeeper,192.0,30.0,76,0.0,0.0,0.066225166,0.0,1.284768212,0.304635762,6795,151,6,18000000
105,Wolverhampton Wanderers,Goalkeeper,193.0,29.0,55,0.0,0.0,0.055248619,0.0,1.510128913,0.184162063,4887,4,0,1800000
106,Wolverhampton Wanderers,Goalkeeper,190.0,21.0,60,0.0,0.0,0.049180328,0.0,1.213114754,0.245901639,5490,9,1,200000
107,Wolverhampton Wanderers,Defender Centre-Back,194.0,26.0,75,0.013398839,0.0,0.093791871,0.0,0.0,0.0,6717,39,0,25000000
108,Wolverhampton Wanderers,Defender Centre-Back,193.0,22.0,53,0.042877561,0.0,0.107193902,0.042877561,0.0,0.0,4198,66,0,22000000
109,Wolverhampton Wanderers,Defender Centre-Back,188.0,33.0,80,0.081032413,0.027010804,0.18907563,0.013505402,0.0,0.0,6664,85,1,2500000
110,Wolverhampton Wanderers,Defender Centre-Back,187.0,24.0,47,0.05132592,0.0,0.282292558,0.0,0.0,0.0,3507,0,0,2500000
111,Wolverhampton Wanderers,Defender Left-Back,180.0,21.0,54,0.074074074,0.172839506,0.197530864,0.0,0.0,0.0,3645,210,0,22000000
112,Wolverhampton Wanderers,Defender Left-Back,175.0,29.0,36,0.103014117,0.0,0.171690195,0.034338039,0.0,0.0,2621,617,1,17000000
113,Wolverhampton Wanderers,Defender Left-Back,180.0,20.0,46,0.110735158,0.276837896,0.083051369,0.0,0.0,0.0,3251,13,0,200000
114,Wolverhampton Wanderers,Defender Right-Back,177.0,29.0,70,0.016813002,0.050439006,0.218569027,0.016813002,0.0,0.0,5353,282,11,15000000
132,Southampton FC,Goalkeeper,188.0,21.0,83,0.0,0.0,0.012048193,0.0,1.373493976,0.265060241,7470,0,0,18000000
133,Southampton FC,Goalkeeper,193.0,33.0,29,0.0,0.0,0.034090909,0.0,1.704545455,0.238636364,2640,647,1,2000000
135,Southampton FC,Defender Centre-Back,190.0,21.0,52,0.0,0.043457267,0.195557702,0.0,0.0,0.0,4142,93,1,20000000
136,Southampton FC,Defender Centre-Back,188.0,24.0,65,0.015842281,0.015842281,0.221791938,0.0,0.0,0.0,5681,224,0,18000000
137,Southampton FC,Defender Centre-Back,192.0,26.0,58,0.078568311,0.019642078,0.216062855,0.0,0.0,0.0,4582,26,7,14000000
138,Southampton FC,Defender Centre-Back,189.0,27.0,61,0.073454397,0.0,0.275453989,0.0,0.0,0.0,4901,0,2,14000000
139,Southampton FC,Defender Centre-Back,187.0,26.0,48,0.029605263,0.059210526,0.266447368,0.0,0.0,0.0,3040,516,0,4000000
140,Southampton FC,Defender Left-Back,173.0,25.0,59,0.105312427,0.063187456,0.210624854,0.0,0.0,0.0,4273,0,0,12000000
141,Southampton FC,Defender Left-Back,170.0,19.0,24,0.0,0.119521912,0.298804781,0.0,0.0,0.0,1506,206,3,7000000
142,Southampton FC,Defender Right-Back,173.0,26.0,75,0.0444152,0.059220266,0.162855733,0.0,0.0,0.0,6079,147,1,25000000
143,Southampton FC,Defender Right-Back,173.0,20.0,35,0.03611557,0.07223114,0.07223114,0.0,0.0,0.0,2492,381,0,25000000
144,Southampton FC,Defender Right-Back,178.0,25.0,83,0.036784741,0.122615804,0.110354223,0.0,0.0,0.0,7340,43,1,3000000
162,Brighton &amp; Hove Albion,Goalkeeper,197.0,25.0,63,0.0,0.0,0.078947368,0.015789474,1.184210526,0.3,5700,0,0,32000000
163,Brighton &amp; Hove Albion,Goalkeeper,188.0,32.0,25,0.0,0.0,0.04,0.0,1.2,0.44,2250,158,0,1000000
164,Brighton &amp; Hove Albion,Goalkeeper,185.0,23.0,23,0.0,0.0,0.0,0.0,1.391304348,0.086956522,2070,0,0,200000
165,Brighton &amp; Hove Albion,Defender Centre-Back,190.0,28.0,57,0.068737271,0.022912424,0.160386965,0.0,0.0,0.0,3928,447,0,22000000
166,Brighton &amp; Hove Albion,Defender Centre-Back,192.0,31.0,73,0.041802137,0.0,0.111472364,0.013934046,0.0,0.0,6459,78,1,18000000
167,Brighton &amp; Hove Albion,Defender Centre-Back,187.0,20.0,56,0.040277467,0.080554934,0.140971134,0.0,0.0,0.0,4469,97,0,16000000
168,Brighton &amp; Hove Albion,Defender Centre-Back,189.0,22.0,47,0.025996534,0.025996534,0.389948007,0.025996534,0.0,0.0,3462,0,0,4000000
169,Brighton &amp; Hove Albion,Defender Left-Back,175.0,25.0,82,0.01663586,0.166358595,0.149722736,0.0,0.0,0.0,5410,191,1,20000000
171,Brighton &amp; Hove Albion,Defender Right-Back,184.0,31.0,72,0.032948929,0.032948929,0.21416804,0.0,0.0,0.0,5463,584,7,10000000
