,team,position,height,age,appearance,goals,assists,yellow cards,red cards,goals conceded,minutes played,days_injured,award,current_value
16,Manchester United,midfield-CentralMidfield,182.0,31.0,55,0.067214339,0.313666916,0.089619119,0.0,0.0,4017,0,10,25000000
17,Manchester United,midfield-CentralMidfield,177.0,29.0,74,0.144046095,0.086427657,0.230473752,0.0,0.0,3124,280,8,20000000
18,Manchester United,midfield-CentralMidfield,169.0,30.0,92,0.184842884,0.22181146,0.33271719,0.0,0.0,4869,45,11,20000000
19,Manchester United,midfield-CentralMidfield,184.0,26.0,31,0.155574762,0.0,0.155574762,0.0,0.0,1157,378,6,17000000
20,Manchester United,midfield-CentralMidfield,181.0,20.0,39,0.129124821,0.06456241,0.225968436,0.0,0.0,2788,0,1,800000
21,Manchester United,midfield-CentralMidfield,175.0,18.0,51,0.153758542,0.102505695,0.0,0.0,0.0,3512,0,1,800000
23,Manchester United,Attack-LeftWinger,185.0,25.0,88,0.528789659,0.196407588,0.07554138,0.0,0.0,5957,319,9,80000000
24,Manchester United,Attack-LeftWinger,180.0,23.0,79,0.21978022,0.10989011,0.0,0.0,0.0,4914,173,5,55000000
25,Manchester United,Attack-LeftWinger,178.0,21.0,63,0.236220472,0.206692913,0.029527559,0.029527559,0.0,3048,0,1,25000000
26,Manchester United,Attack-LeftWinger,180.0,18.0,72,0.525730181,0.300417246,0.225312935,0.0,0.0,3595,50,2,25000000
27,Manchester United,Attack-RightWinger,172.0,23.0,80,0.335252286,0.228581104,0.182864883,0.0,0.0,5906,196,5,70000000
28,Manchester United,Attack-RightWinger,174.0,21.0,34,0.0,0.087378641,0.262135922,0.0,0.0,1030,90,1,3000000
29,Manchester United,Attack-RightWinger,181.0,21.0,24,0.317647059,0.105882353,0.105882353,0.0,0.0,1700,135,0,0
30,Manchester United,Attack Centre-Forward,181.0,27.0,52,0.399032648,0.145102781,0.036275695,0.0,0.0,2481,408,6,15000000
44,West Ham United,midfield-CentralMidfield,178.0,24.0,74,0.019876325,0.03975265,0.337897527,0.0,0.0,4528,0,1,8000000
47,West Ham United,midfield-AttackingMidfield,167.0,30.0,69,0.220102715,0.110051357,0.176082172,0.0,0.0,4089,555,3,8000000
48,West Ham United,Attack-LeftWinger,172.0,27.0,100,0.350076104,0.167427702,0.0304414,0.0,0.0,5913,14,1,22000000
49,West Ham United,Attack-LeftWinger,179.0,26.0,51,0.310463779,0.241471828,0.103487926,0.0,0.0,2609,71,1,15000000
69,Leicester City,midfield-DefensiveMidfield,183.0,26.0,61,0.040540541,0.02027027,0.222972973,0.0,0.0,4440,234,2,32000000
70,Leicester City,midfield-DefensiveMidfield,188.0,24.0,59,0.0,0.02538787,0.279266573,0.0,0.0,3545,0,2,20000000
71,Leicester City,midfield-DefensiveMidfield,167.0,30.0,42,0.038977913,0.038977913,0.233867475,0.0,0.0,2309,459,2,3500000
73,Leicester City,midfield-CentralMidfield,178.0,24.0,78,0.079491256,0.079491256,0.143084261,0.0,0.0,5661,4,1,25000000
74,Leicester City,midfield-CentralMidfield,181.0,29.0,51,0.107142857,0.107142857,0.142857143,0.0,0.0,2520,383,9,8000000
77,Leicester City,Attack-RightWinger,175.0,23.0,72,0.381016043,0.240641711,0.160427807,0.0,0.0,4488,0,4,25000000
78,Leicester City,Attack Centre-Forward,183.0,24.0,74,0.39717564,0.211827008,0.105913504,0.0,0.0,3399,58,13,20000000
79,Leicester City,Attack Centre-Forward,185.0,26.0,78,0.394845078,0.345489443,0.09871127,0.0,0.0,3647,17,4,17000000
80,Leicester City,Attack Centre-Forward,179.0,36.0,75,0.465901418,0.141796084,0.081026334,0.0,0.0,4443,198,8,4000000
93,Aston Villa,midfield-DefensiveMidfield,184.0,23.0,74,0.015695849,0.031391699,0.21974189,0.0,0.0,5734,188,0,25000000
94,Aston Villa,midfield-DefensiveMidfield,188.0,28.0,60,0.080910998,0.107881331,0.107881331,0.026970333,0.0,3337,114,6,17000000
96,Aston Villa,midfield-CentralMidfield,180.0,22.0,73,0.203351535,0.152513651,0.203351535,0.0,0.0,5311,46,0,32000000
98,Aston Villa,Attack-LeftWinger,178.0,25.0,54,0.187695516,0.187695516,0.250260688,0.0,0.0,2877,153,0,25000000
99,Aston Villa,Attack-LeftWinger,172.0,30.0,57,0.251572327,0.094339623,0.125786164,0.0,0.0,2862,564,15,14000000
